OBJECT_ID,FAMILY_ID,MECHANISM_ID,TIER
S20::3a706309724e,S20,M21_META_ROUTER,T1_REGENERATE_SLIB
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,T1_REGENERATE_SLIB
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,T1_REGENERATE_SLIB
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,T1_REGENERATE_SLIB
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,T1_REGENERATE_SLIB
S24::a20c02d14359,S24,M06_SESSION_TIME,T1_REGENERATE_SLIB
S25::017b79ce0b9e,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,T1_REGENERATE_SLIB
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,T1_REGENERATE_SLIB
S27::8492323d86e4,S27,M16_AUCTION_VALUE,T1_REGENERATE_SLIB
S28::b2a817579286,S28,M16_AUCTION_VALUE,T1_REGENERATE_SLIB
S29::bd28e989b4eb,S29,M06_SESSION_TIME,T1_REGENERATE_SLIB
S29::10d4532019fd,S29,M06_SESSION_TIME,T1_REGENERATE_SLIB
S30::282a94fa23d8,S30,M06_SESSION_TIME,T1_REGENERATE_SLIB
S31::555f488885b1,S31,M06_SESSION_TIME,T1_REGENERATE_SLIB
S31::9584b16899ad,S31,M06_SESSION_TIME,T1_REGENERATE_SLIB
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,T1_REGENERATE_SLIB
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,T1_REGENERATE_SLIB
S40::43b9c7dbd606,S40,M21_META_ROUTER,T1_REGENERATE_SLIB
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,T1_REGENERATE_SLIB
S42::a347eead7c5d,S42,M08_EXTENSION_MEAN_REVERSION,T1_REGENERATE_SLIB
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,T1_REGENERATE_SLIB
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,T1_REGENERATE_SLIB
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,T1_REGENERATE_SLIB
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,T1_REGENERATE_SLIB
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,T1_REGENERATE_SLIB
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,T1_REGENERATE_SLIB
S51::049ca99687f4,S51,M06_SESSION_TIME,T1_REGENERATE_SLIB
CAND0001,CAND0001,M14_REFERENCE_LEVEL,T2_REGENERATE_EDGERESEARCH
CAND0002,CAND0002,M04_VOLATILITY_COMPRESSION_EXPANSION,T2_REGENERATE_EDGERESEARCH
CAND0004,CAND0004,M13_IMBALANCE_FVG,T2_REGENERATE_EDGERESEARCH
CAND0005,CAND0005,M13_IMBALANCE_FVG,T2_REGENERATE_EDGERESEARCH
CAND0006,CAND0006,M14_REFERENCE_LEVEL,T2_REGENERATE_EDGERESEARCH
CAND0009,CAND0009,M03_BREAKOUT_RETEST,T2_REGENERATE_EDGERESEARCH
CAND0027,CAND0027,M06_SESSION_TIME,T2_REGENERATE_EDGERESEARCH
CAND0037,CAND0037,M03_BREAKOUT_RETEST,T2_REGENERATE_EDGERESEARCH
CAND0038,CAND0038,M10_DISPLACEMENT_CONTINUATION,T2_REGENERATE_EDGERESEARCH
E005,E005,M06_SESSION_TIME,T2_REGENERATE_EDGERESEARCH
E006,E006,M02_FAILED_BREAKOUT_FADE,T2_REGENERATE_EDGERESEARCH
E008,E008,M06_SESSION_TIME,T2_REGENERATE_EDGERESEARCH
E009,E009,M11_STRUCTURE_BREAK_REVERSAL,T2_REGENERATE_EDGERESEARCH
E010,E010,M14_REFERENCE_LEVEL,T2_REGENERATE_EDGERESEARCH
E011,E011,M08_EXTENSION_MEAN_REVERSION,T2_REGENERATE_EDGERESEARCH
E012,E012,M13_IMBALANCE_FVG,T2_REGENERATE_EDGERESEARCH
E014,E014,M02_FAILED_BREAKOUT_FADE,T2_REGENERATE_EDGERESEARCH
E015,E015,M14_REFERENCE_LEVEL,T2_REGENERATE_EDGERESEARCH
E017,E017,M01_LIQUIDITY_SWEEP,T2_REGENERATE_EDGERESEARCH
E025,E025,M14_REFERENCE_LEVEL,T2_REGENERATE_EDGERESEARCH
E026,E026,M08_EXTENSION_MEAN_REVERSION,T2_REGENERATE_EDGERESEARCH
E027,E027,M14_REFERENCE_LEVEL,T2_REGENERATE_EDGERESEARCH
E028,E028,M07_TREND_CONTINUATION,T2_REGENERATE_EDGERESEARCH
E029,E029,M15_GAP,T2_REGENERATE_EDGERESEARCH
E032,E032,M16_AUCTION_VALUE,T2_REGENERATE_EDGERESEARCH
ALPHA_DISCOVERY_FACTORY_V2,ALPHA_DISCOVERY_FACTORY_V2,M26_CONTRAST_MINING,T2_REGENERATE_FACTORY
BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,M11_STRUCTURE_BREAK_REVERSAL,T2_REGENERATE_FACTORY
CHRONOLOGICAL_MARKET_LEARNING,CHRONOLOGICAL_MARKET_LEARNING,M21_META_ROUTER,T2_REGENERATE_FACTORY
CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,M23_CROSS_MARKET,T2_REGENERATE_FACTORY
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,M25_DIRECTION_AGNOSTIC_OCO,T2_REGENERATE_FACTORY
DXY_FRONTIER_V1,DXY_FRONTIER_V1,M23_CROSS_MARKET,T2_REGENERATE_FACTORY
H1_H4_SETUP_M5_EXECUTION_V1,H1_H4_SETUP_M5_EXECUTION_V1,M09_MTF_ALIGNMENT,T2_REGENERATE_FACTORY
LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,M24_EVENT_REVEALED_RESPONSE,T2_REGENERATE_FACTORY
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,T2_REGENERATE_FACTORY
OB_RETEST_FACTORY_V1,OB_RETEST_FACTORY_V1,M14_REFERENCE_LEVEL,T2_REGENERATE_FACTORY
SESSION_FRONTIER_SF1_SF3,SESSION_FRONTIER_SF1_SF3,M06_SESSION_TIME,T2_REGENERATE_FACTORY
TEMPORAL_SEQUENCE_MINING_V1,TEMPORAL_SEQUENCE_MINING_V1,M19_SEQUENCE_RUNLENGTH,T2_REGENERATE_FACTORY
VOLPATH_FRONTIER,VOLPATH_FRONTIER,M04_VOLATILITY_COMPRESSION_EXPANSION,T2_REGENERATE_FACTORY
VOLTIME_FRONTIER,VOLTIME_FRONTIER,M04_VOLATILITY_COMPRESSION_EXPANSION,T2_REGENERATE_FACTORY
COMP_CONT_L_RR2,COMP_CONT_L_RR2,M07_TREND_CONTINUATION,T2_REGENERATE_FROZEN_SPEC
CRS1_H4DIV_FADE_S,CRS1_H4DIV_FADE_S,M08_EXTENSION_MEAN_REVERSION,T2_REGENERATE_FROZEN_SPEC
E015_ORDER_BLOCK_REMITIGATION,E015_ORDER_BLOCK_REMITIGATION,M14_REFERENCE_LEVEL,T2_REGENERATE_FROZEN_SPEC
H4_BO_RAW_S,H4_BO_RAW_S,M03_BREAKOUT_RETEST,T2_REGENERATE_FROZEN_SPEC
HR_TU_PB_L,HR_TU_PB_L,M07_TREND_CONTINUATION,T2_REGENERATE_FROZEN_SPEC
MT_H4_DISPACCEPT_L,MT_H4_DISPACCEPT_L,M10_DISPLACEMENT_CONTINUATION,T2_REGENERATE_FROZEN_SPEC
